Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value
10,Outside,2,1.0,2,2,2,5.8,283,0.0%
10,Outside,3,1.0,2,2,2,26.8,276,0.0%
10,Outside,4,1.0,2,2,2,2.0,324,0.0%
10,Outside,5,1.0,2,2,2,43.0,232,0.0%
10,Outside,1,1.5,2,2,2,0.2,340,0.0%
10,Outside,2,1.5,2,2,2,0.3,285,0.0%
10,Outside,3,1.5,2,2,2,0.6,338,0.0%
10,Outside,4,1.5,2,2,2,0.6,430,0.0%
10,Outside,5,1.5,2,2,2,0.1,365,0.0%
15,Center,1,0.5,2,2,2,1587.1,209,0.0%
15,Center,2,0.5,2,2,2,969.1,169,-0.6%
15,Center,3,0.5,2,2,2,3262.3,196,0.0%
15,Center,4,0.5,2,2,2,6.2,175,0.0%
15,Center,5,0.5,2,2,2,1990.2,170,1.2%
15,Center,1,1.0,2,2,2,831.7,274,0.0%
15,Center,2,1.0,2,2,2,1049.2,251,0.0%
15,Center,3,1.0,2,2,2,38.2,281,0.7%
15,Center,4,1.0,2,2,2,2659.9,233,4.7%
15,Center,5,1.0,2,2,2,2481.6,197,0.0%
15,Center,1,1.5,2,2,2,86.4,325,0.0%
15,Center,2,1.5,2,2,2,1011.2,302,-0.3%
15,Center,3,1.5,2,2,2,16.1,327,0.0%
15,Center,4,1.5,2,2,2,63.2,315,0.0%
15,Center,5,1.5,2,2,2,1128.7,286,1.4%
15,Border,1,0.5,2,2,2,12.0,222,-1.8%
15,Border,2,0.5,2,2,2,8.0,190,0.0%
15,Border,3,0.5,2,2,2,33.7,204,-3.4%
15,Border,4,0.5,2,2,2,0.9,204,0.0%
15,Border,5,0.5,2,2,2,116.1,178,0.0%
15,Border,1,1.0,2,2,2,227.8,278,0.0%
15,Border,2,1.0,2,2,2,18.7,279,0.0%
15,Border,3,1.0,2,2,2,88.4,284,-0.7%
15,Border,4,1.0,2,2,2,11.3,254,0.0%
15,Border,5,1.0,2,2,2,5.9,206,0.0%
15,Border,1,1.5,2,2,2,2.9,365,0.0%
15,Border,2,1.5,2,2,2,170.1,322,-0.6%
15,Border,3,1.5,2,2,2,20.3,350,0.0%
15,Border,4,1.5,2,2,2,2.6,355,0.0%
15,Border,5,1.5,2,2,2,335.8,281,0.0%
15,Outside,1,0.5,2,2,2,91.5,262,0.0%
15,Outside,2,0.5,2,2,2,102.8,230,0.0%
15,Outside,3,0.5,2,2,2,390.8,244,-2.9%
15,Outside,4,0.5,2,2,2,2676.5,245,0.4%
15,Outside,5,0.5,2,2,2,3141.1,218,0.0%
15,Outside,1,1.0,2,2,2,584.8,321,0.9%
15,Outside,2,1.0,2,2,2,1716.4,319,0.0%
15,Outside,3,1.0,2,2,2,73.8,327,0.3%
15,Outside,4,1.0,2,2,2,296.0,294,0.0%
15,Outside,5,1.0,2,2,2,1026.6,246,-2.4%
15,Outside,1,1.5,2,2,2,154.9,405,0.0%
15,Outside,2,1.5,2,2,2,1141.7,362,0.0%
15,Outside,3,1.5,2,2,2,274.9,390,0.0%
15,Outside,4,1.5,2,2,2,65.6,395,0.0%
15,Outside,5,1.5,2,2,2,667.9,324,0.6%
20,Center,1,0.5,2,2,2,1190.6,191,0.5%
20,Center,2,0.5,2,2,2,662.8,212,1.9%
20,Center,3,0.5,2,2,2,208.0,212,-1.9%
20,Center,4,0.5,2,2,2,2708.4,210,-1.9%
20,Center,5,0.5,2,2,2,1985.3,192,-4.2%
20,Center,1,1.0,2,2,2,1702.2,274,-4.7%
20,Center,2,1.0,2,2,2,1076.9,293,2.7%
20,Center,3,1.0,2,2,2,1912.9,311,-6.8%
20,Center,4,1.0,2,2,2,2647.5,282,0.4%
20,Center,5,1.0,2,2,2,2024.3,270,4.4%
20,Center,1,1.5,2,2,2,44.8,360,-0.8%
20,Center,2,1.5,2,2,2,719.3,332,-0.6%
20,Center,3,1.5,2,2,2,1052.5,374,0.0%
20,Center,4,1.5,2,2,2,1399.1,377,-2.1%
20,Center,5,1.5,2,2,2,1594.9,342,0.0%
20,Border,1,0.5,2,2,2,1279.7,220,-5.0%
20,Border,2,0.5,2,2,2,815.8,213,0.0%
20,Border,3,0.5,2,2,2,371.2,236,2.5%
20,Border,4,0.5,2,2,2,1043.7,226,-11.9%
20,Border,5,0.5,2,2,2,1925.1,206,0.0%
20,Border,1,1.0,2,2,2,496.3,292,-3.4%
20,Border,2,1.0,2,2,2,1566.1,321,0.9%
20,Border,3,1.0,2,2,2,2841.6,333,-5.4%
20,Border,4,1.0,2,2,2,1008.4,292,-3.4%
20,Border,5,1.0,2,2,2,2342.3,286,1.4%
20,Border,1,1.5,2,2,2,798.6,374,0.8%
20,Border,2,1.5,2,2,2,249.8,345,-0.3%
20,Border,3,1.5,2,2,2,121.3,398,0.0%
20,Border,4,1.5,2,2,2,880.9,412,-0.2%
20,Border,5,1.5,2,2,2,2582.6,356,-1.4%
20,Outside,1,0.5,2,2,2,1577.2,259,-5.8%
20,Outside,2,0.5,2,2,2,379.5,253,-0.4%
20,Outside,3,0.5,2,2,2,1218.7,278,4.0%
20,Outside,4,0.5,2,2,2,1474.7,267,-3.0%
20,Outside,5,0.5,2,2,2,1633.0,257,0.0%
20,Outside,1,1.0,2,2,2,1543.2,338,-2.4%
20,Outside,2,1.0,2,2,2,1348.7,365,1.9%
20,Outside,3,1.0,2,2,2,2037.0,372,-3.8%
20,Outside,4,1.0,2,2,2,584.7,341,2.9%
20,Outside,5,1.0,2,2,2,2005.8,327,1.5%
20,Outside,1,1.5,2,2,2,510.5,422,2.6%
20,Outside,2,1.5,2,2,2,805.1,396,-3.5%
20,Outside,3,1.5,2,2,2,451.7,438,0.2%
20,Outside,4,1.5,2,2,2,896.0,455,-2.0%
20,Outside,5,1.5,2,2,2,1240.2,403,1.7%
