Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value,Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
15,Border,1,1.0,2,2,2,9.5,255,0.0%,5.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.0,2,2,2,27.3,257,0.0%,21.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.0,2,2,2,2282.3,268,-1.1%,15.7%,0.4%,0.4%,0.4%,0.0%,0.0%
15,Border,4,1.0,2,2,2,14.4,238,0.0%,16.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.0,2,2,2,119.2,190,-6.3%,31.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,1,1.5,2,2,2,0.4,352,0.0%,5.1%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,2,1.5,2,2,2,10.6,311,0.0%,19.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,3,1.5,2,2,2,18.6,328,0.0%,21.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,4,1.5,2,2,2,5.0,323,0.0%,1.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Border,5,1.5,2,2,2,51.5,266,0.0%,25.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,0.5,2,2,2,390.6,241,-3.7%,12.0%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,0.5,2,2,2,446.7,215,-0.9%,5.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,0.5,2,2,2,565.8,222,-1.4%,16.2%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,0.5,2,2,2,1061.5,215,-2.3%,8.8%,0.5%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,0.5,2,2,2,77.9,207,-0.5%,15.5%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,1.0,2,2,2,59.0,289,0.0%,5.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.0,2,2,2,1108.5,287,0.0%,18.5%,3.1%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,1.0,2,2,2,137.5,302,0.0%,12.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.0,2,2,2,732.2,268,0.0%,15.7%,1.9%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.0,2,2,2,409.7,223,-5.4%,22.4%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,1,1.5,2,2,2,6.5,382,0.0%,3.9%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,2,1.5,2,2,2,125.6,341,0.0%,16.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,3,1.5,2,2,2,20.5,360,0.0%,18.6%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,4,1.5,2,2,2,46.5,353,0.0%,1.7%,0.0%,0.0%,0.0%,0.0%,0.0%
15,Outside,5,1.5,2,2,2,79.7,306,0.0%,19.3%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,1,0.5,2,2,2,293.7,187,-3.2%,8.6%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,2,0.5,2,2,2,520.3,200,-1.0%,23.0%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,3,0.5,2,2,2,3487.6,198,-12.1%,16.2%,3.5%,3.5%,2.5%,2.5%,2.5%
20,Center,4,0.5,2,2,2,216.0,203,-10.3%,1.5%,0.0%,0.0%,0.0%,0.0%,0.0%
20,Center,5,0.5,2,2,2,3074.6,191,1.6%,12.0%,0.5%,0.5%,0.5%,0.5%,0.5%
20,Center,1,1.0,2,2,2,2568.6,260,-10.8%,14.6%,1.2%,0.8%,0.8%,0.8%,0.0%
20,Center,2,1.0,2,2,2,22.7,275,1.1%,6.9%,0.0%,0.0%,0.0%,0.0%,0.0%
