Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,TB (s),Objective value,Relative difference with MILP objective value
20,Border,5,0.5,2,2,2,2489.5,194,-8.2%
20,Border,1,1.0,2,2,2,979.2,279,-5.4%
20,Border,2,1.0,2,2,2,645.3,293,-10.6%
20,Border,3,1.0,2,2,2,1947.2,320,-2.8%
20,Border,4,1.0,2,2,2,574.4,274,-14.6%
20,Border,5,1.0,2,2,2,1182.5,264,-7.2%
20,Border,1,1.5,2,2,2,105.4,365,-4.4%
20,Border,2,1.5,2,2,2,3291.0,327,-0.3%
20,Border,3,1.5,2,2,2,243.4,375,-1.3%
20,Border,4,1.5,2,2,2,713.8,391,-0.8%
20,Border,5,1.5,2,2,2,442.8,335,-3.3%
20,Outside,1,0.5,2,2,2,1222.9,246,-5.7%
20,Outside,2,0.5,2,2,2,375.4,236,-1.7%
20,Outside,3,0.5,2,2,2,314.5,262,-1.5%
20,Outside,4,0.5,2,2,2,2376.3,255,-2.7%
20,Outside,5,0.5,2,2,2,2297.4,230,-7.4%
20,Outside,1,1.0,2,2,2,2191.9,317,-8.2%
20,Outside,2,1.0,2,2,2,3401.7,325,-7.4%
20,Outside,3,1.0,2,2,2,3568.0,360,-1.9%
20,Outside,4,1.0,2,2,2,2213.4,306,-5.9%
20,Outside,5,1.0,2,2,2,43.8,302,0.3%
20,Outside,1,1.5,2,2,2,3585.2,388,-2.8%
20,Outside,2,1.5,2,2,2,3227.8,356,-7.0%
20,Outside,3,1.5,2,2,2,1241.1,417,0.0%
20,Outside,4,1.5,2,2,2,1155.5,420,-1.0%
20,Outside,5,1.5,2,2,2,83.1,369,-3.3%
