Customers,Depot location,Instance,Beta,Drone capacity,Trucks,Drones,Objective value,Total drone sorties,Total truck returns,Total orders resupplied,Total orders collected via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
40,Outside,6,1.0,10,2,2,461,8,0,4.8,,199.2,4.8%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,7,1.0,10,2,2,414,8,0,4.8,,273.0,6.8%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,8,1.0,10,2,2,434,9,3,3.8,1.7,2509.8,8.5%,3.0%,3.0%,3.0%,0.7%,0.0%
40,Outside,9,1.0,10,2,2,434,10,0,3.8,,1759.0,16.4%,4.6%,4.6%,0.0%,0.0%,0.0%
40,Outside,10,1.0,10,2,2,422,10,2,3.4,3.0,438.3,6.6%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,1,1.5,10,2,2,497,12,2,2.7,4.0,853.5,17.5%,2.8%,0.0%,0.0%,0.0%,0.0%
40,Outside,2,1.5,10,2,2,519,13,2,2.4,2.5,675.2,10.8%,2.1%,0.0%,0.0%,0.0%,0.0%
40,Outside,3,1.5,10,2,2,542,9,3,3.3,3.0,2597.7,11.8%,3.0%,3.0%,3.0%,1.1%,0.0%
40,Outside,4,1.5,10,2,2,520,11,4,3.0,1.5,3461.3,8.7%,1.2%,1.2%,1.2%,1.2%,1.2%
40,Outside,5,1.5,10,2,2,511,10,2,3.3,2.0,2682.1,21.7%,13.1%,5.9%,0.6%,0.6%,0.0%
40,Outside,6,1.5,10,2,2,552,13,3,2.3,2.3,520.9,15.6%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,7,1.5,10,2,2,548,14,1,2.4,2.0,2556.6,12.6%,2.4%,0.7%,0.7%,0.7%,0.0%
40,Outside,8,1.5,10,2,2,564,10,2,3.3,3.0,566.6,7.1%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,9,1.5,10,2,2,558,10,1,3.0,4.0,2205.3,15.6%,1.1%,0.2%,0.2%,0.0%,0.0%
40,Outside,10,1.5,10,2,2,555,12,1,2.7,1.0,3105.1,25.4%,13.5%,7.6%,7.2%,7.2%,1.1%
50,Outside,1,0.5,10,2,2,383,7,0,7.0,,1198.3,6.5%,2.1%,0.0%,0.0%,0.0%,0.0%
50,Outside,2,0.5,10,2,2,391,6,1,5.7,13.0,1357.8,10.5%,4.3%,2.0%,0.0%,0.0%,0.0%
50,Outside,3,0.5,10,2,2,384,7,0,6.6,,2217.9,17.2%,5.2%,3.4%,3.4%,0.0%,0.0%
50,Outside,4,0.5,10,2,2,392,8,1,5.6,5.0,2128.1,7.9%,4.3%,2.8%,1.3%,0.0%,0.0%
50,Outside,5,0.5,10,2,2,377,7,1,6.7,1.0,3278.3,8.0%,2.4%,0.8%,0.8%,0.8%,0.8%
50,Outside,6,0.5,10,2,2,384,7,0,6.7,,2940.9,16.1%,1.6%,0.3%,0.3%,0.3%,0.0%
50,Outside,7,0.5,10,2,2,390,6,0,8.3,,3200.2,14.1%,3.8%,2.3%,2.3%,2.3%,1.5%
50,Outside,8,0.5,10,2,2,371,7,0,7.1,,1969.0,8.6%,2.2%,1.9%,0.3%,0.0%,0.0%
50,Outside,9,0.5,10,2,2,370,6,0,7.2,,1753.0,7.3%,1.4%,1.4%,0.0%,0.0%,0.0%
50,Outside,10,0.5,10,2,2,382,6,1,7.2,4.0,3303.0,7.9%,0.5%,0.5%,0.5%,0.5%,0.5%
50,Outside,1,1.0,10,2,2,472,11,0,3.9,,2945.8,11.9%,8.1%,3.4%,3.4%,2.1%,0.0%
50,Outside,2,1.0,10,2,2,470,10,0,4.7,,3589.5,11.3%,4.9%,3.2%,3.2%,0.2%,0.2%
50,Outside,3,1.0,10,2,2,498,9,3,4.8,1.3,887.4,8.2%,0.6%,0.0%,0.0%,0.0%,0.0%
50,Outside,4,1.0,10,2,2,465,9,4,4.2,2.8,995.1,1.7%,0.9%,0.0%,0.0%,0.0%,0.0%
50,Outside,5,1.0,10,2,2,491,8,2,5.1,2.5,2099.2,14.1%,5.7%,3.5%,2.0%,0.0%,0.0%
50,Outside,6,1.0,10,2,2,496,10,2,3.7,2.5,2688.2,3.8%,3.4%,0.4%,0.4%,0.4%,0.0%
50,Outside,7,1.0,10,2,2,508,9,3,4.6,2.0,318.0,5.7%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,8,1.0,10,2,2,485,9,5,4.1,2.6,417.3,4.7%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,9,1.0,10,2,2,484,10,3,3.7,4.0,1234.7,18.4%,4.8%,1.2%,0.0%,0.0%,0.0%
50,Outside,10,1.0,10,2,2,429,9,1,4.9,4.0,3418.8,9.1%,6.1%,4.9%,0.9%,0.9%,0.9%
50,Outside,1,1.5,10,2,2,643,15,4,2.9,1.5,251.8,4.0%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,2,1.5,10,2,2,572,12,3,3.3,2.0,1228.9,18.7%,9.1%,1.0%,0.0%,0.0%,0.0%
50,Outside,3,1.5,10,2,2,632,12,1,4.1,1.0,1953.2,16.5%,6.8%,2.4%,0.2%,0.0%,0.0%
50,Outside,4,1.5,10,2,2,638,11,4,3.8,1.0,839.7,8.0%,1.4%,0.0%,0.0%,0.0%,0.0%
50,Outside,5,1.5,10,2,2,593,12,2,3.3,3.5,2878.5,26.0%,15.9%,6.2%,4.4%,1.2%,0.0%
50,Outside,6,1.5,10,2,2,599,13,3,3.0,2.7,1019.5,13.4%,4.3%,0.0%,0.0%,0.0%,0.0%
50,Outside,7,1.5,10,2,2,590,12,5,2.8,1.6,318.2,5.9%,0.0%,0.0%,0.0%,0.0%,0.0%
50,Outside,8,1.5,10,2,2,596,14,0,3.1,,2486.5,12.4%,7.2%,3.5%,3.0%,0.2%,0.0%
50,Outside,9,1.5,10,2,2,595,14,1,3.3,1.0,660.4,2.4%,0.2%,0.0%,0.0%,0.0%,0.0%
50,Outside,10,1.5,10,2,2,615,12,5,3.2,1.2,751.0,2.4%,0.2%,0.0%,0.0%,0.0%,0.0%
