Customers,Depot location,Instance,Beta,Trucks,Objective value,Total truck returns,Total orders collected via depot return,Percentage of orders before departing the depot,Percentage of orders via depot return,TB(s),Relative difference with initial solution,Relative difference with best matheuristic solution at minute 10,Relative difference with best matheuristic solution at minute 20,Relative difference with best matheuristic solution at minute 30,Relative difference with best matheuristic solution at minute 40,Relative difference with best matheuristic solution at minute 50
40,Outside,9,1.0,2,477,8,3.9,23%,78%,268.7,14.5%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,10,1.0,2,443,9,3.9,13%,88%,1653.6,10.6%,5.9%,5.9%,0.0%,0.0%,0.0%
40,Outside,1,1.5,2,542,8,3.8,25%,75%,162.8,16.8%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,2,1.5,2,540,10,3.3,18%,83%,1694.4,13.1%,5.6%,1.7%,0.0%,0.0%,0.0%
40,Outside,3,1.5,2,558,10,3.3,18%,83%,1483.8,14.0%,3.9%,3.0%,0.0%,0.0%,0.0%
40,Outside,4,1.5,2,552,14,2.1,25%,75%,129.7,6.7%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,5,1.5,2,536,10,3.2,20%,80%,1935.1,23.5%,3.0%,3.0%,2.4%,0.0%,0.0%
40,Outside,6,1.5,2,581,11,3.1,15%,85%,3319.1,15.3%,3.3%,3.3%,3.3%,1.0%,1.0%
40,Outside,7,1.5,2,587,9,3.4,23%,78%,275.1,11.9%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,8,1.5,2,585,12,3.2,5%,95%,153.6,7.7%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,9,1.5,2,598,12,2.8,18%,83%,248.4,13.4%,0.0%,0.0%,0.0%,0.0%,0.0%
40,Outside,10,1.5,2,604,10,3.2,20%,80%,1255.3,21.7%,3.5%,3.5%,0.0%,0.0%,0.0%
50,Outside,1,0.5,2,410,7,6.1,14%,86%,1919.9,4.6%,1.7%,1.5%,1.5%,0.0%,0.0%
50,Outside,2,0.5,2,401,6,7.5,10%,90%,2246.4,15.2%,2.5%,1.5%,1.5%,0.0%,0.0%
50,Outside,3,0.5,2,424,7,6.3,12%,88%,1946.7,12.5%,0.9%,0.9%,0.9%,0.0%,0.0%
50,Outside,4,0.5,2,425,8,5.8,8%,92%,1190.1,10.1%,1.9%,0.0%,0.0%,0.0%,0.0%
50,Outside,5,0.5,2,388,8,5.4,14%,86%,2017.7,9.8%,2.1%,0.5%,0.5%,0.0%,0.0%
50,Outside,6,0.5,2,399,7,6.3,12%,88%,1972.5,18.8%,3.3%,0.8%,0.8%,0.0%,0.0%
50,Outside,7,0.5,2,416,6,5.5,34%,66%,1461.6,13.2%,1.9%,1.4%,0.0%,0.0%,0.0%
50,Outside,8,0.5,2,383,6,7.3,12%,88%,1000.2,16.4%,1.6%,0.0%,0.0%,0.0%,0.0%
50,Outside,9,0.5,2,401,6,7.2,14%,86%,2514.3,7.2%,0.2%,0.2%,0.2%,0.2%,0.0%
50,Outside,10,0.5,2,386,6,7.8,6%,94%,2436.6,16.1%,0.5%,0.5%,0.5%,0.5%,0.0%
50,Outside,1,1.0,2,504,10,4.3,14%,86%,2733.6,11.5%,3.4%,3.2%,1.4%,1.4%,0.0%
50,Outside,2,1.0,2,493,9,4.4,20%,80%,3327.4,12.2%,6.3%,6.1%,6.1%,6.1%,2.4%
50,Outside,3,1.0,2,536,9,4.9,12%,88%,82.1,9.9%,0.0%,0.0%,0.0%,0.0%,0.0%
